Team Name,Short Name,TLA,Country,Founded,Club Colors,Venue,Website,Coach Name,Coach Nationality,Player Name,Position,Date of Birth,Nationality
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Niklas Lomb,Goalkeeper,1993-07-28,Germany
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Lukáš Hrádecký,Goalkeeper,1989-11-24,Finland
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Matej Kovar,Goalkeeper,2000-05-17,Czech Republic
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Ben Hawighorst,Defence,2008-03-01,Germany
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Othniel Raterink,Midfield,2006-04-07,Netherlands
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Kerim Alajbegović,Midfield,2007-09-21,Germany
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Artem Stepanov,Centre-Forward,2007-08-10,Ukraine
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Matija Marsenić,Central Midfield,2005-01-03,Montenegro
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Francis Onyeka,Attacking Midfield,2007-04-29,Germany
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Ken Izekor,Centre-Forward,2007-05-24,Germany
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Arthur Augusto,Right-Back,2003-03-17,Brazil
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Jeanuel Belocian,Centre-Back,2005-02-17,France
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Sadik Fofana,Centre-Back,2003-05-16,Togo
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Nathan Tella,Right Midfield,1999-07-05,England
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Amine Adli,Left Winger,2000-05-10,Morocco
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Victor Boniface,Centre-Forward,2000-12-23,Nigeria
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Jeremie Frimpong,Right Midfield,2000-12-10,Netherlands
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Piero Hincapié,Centre-Back,2002-01-09,Ecuador
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Edmond Tapsoba,Centre-Back,1999-02-02,Burkina Faso
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Robert Andrich,Defensive Midfield,1994-09-22,Germany
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Aleix García,Central Midfield,1997-06-28,Spain
Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,Red / White / Black,BayArena,http://www.bayer04.de,Xabi Alonso,Spain,Florian Wirtz,Attacking Midfield,2003-05-03,Germany
